,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements,Month
0,1122889548349020032,https://twitter.com/canadabusiness/status/1122889548349026304,Is your #business going through a rough patch? Thinking about layoffs? Consider these alternatives: https://t.co/fKAMvlPxhU #BizTip https://t.co/edWtZipC77,2019-04-29 15:45 +0000,3111,29,0.00932176149148184,3,0,3,0,12,2,9,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
1,1121802408844189952,https://twitter.com/canadabusiness/status/1121802408844197888,Funding. Advice. And everything the government can do for your business. All in one place! #InnovationCanada https://t.co/dsIgxX1Msr,2019-04-26 15:45 +0000,5741,41,0.00714161295941473,3,0,6,2,0,3,12,1,0,0,1,0,0,394,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
2,1121516756655389952,https://twitter.com/canadabusiness/status/1121516756655398912,The future of #innovation is in #cleantech. ðŸ‡¨ðŸ‡¦ supports small businesses like Rotoliptic Technologies Inc. that are not only developing technologies to protect the #environment but also creating jobs. #InvestInCanada https://t.co/IdBLqLz91K https://t.co/0DP7sUraFH,2019-04-25 20:50 +0000,2593,21,0.00809872734284612,1,0,2,1,5,0,9,0,0,0,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
3,1121501756037449984,https://twitter.com/canadabusiness/status/1121501756037455872,Get a tailored list of government programs and services for your business.,2019-04-25 19:50 +0000,9948,1243,0.124949738640932,0,10,0,4,1120,0,108,0,0,0,1,0,0,0,0,4171681,27478,0.0065867931896039,218,38,1031,1426,9432,0,15067,41,0,0,224,0,0,1,1,Apr
4,1121440007498140032,https://twitter.com/canadabusiness/status/1121440007498149888,ATTN #youngentrepreneurs: Find programs that can help you bring your #innovations and #newtech to market! https://t.co/TGiGMo7hCJ https://t.co/oNLmxdoRL4,2019-04-25 15:45 +0000,7453,61,0.00818462364148665,8,0,12,1,22,0,17,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
5,1121094331396440064,https://twitter.com/canadabusiness/status/1121094331396448256,Get a tailored list of government programs and services for your business. https://t.co/JbFf4tytVT,2019-04-24 16:51 +0000,19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
6,1120296526440480000,https://twitter.com/canadabusiness/status/1120296526440488960,Minister Ng will make an announcement on #GoCâ€™s support for #export and #trade at 9am today. Tune in on FB. https://t.co/8MVoy7Tb55,2019-04-22 12:01 +0000,3010,14,0.00465116279069767,2,0,4,2,2,0,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
7,1118957510722029952,https://twitter.com/canadabusiness/status/1118957510722031619,"Tune in to our Facebook page at 9am on Monday, April 22 to watch Minister Ngâ€™s announcement on #GoCâ€™s support for #export and #trade. https://t.co/fkmADteJRB",2019-04-18 19:20 +0000,2850,19,0.00666666666666666,1,0,4,1,3,0,10,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
8,1118922452984310016,https://twitter.com/canadabusiness/status/1118922452984315909,The future of #innovation is in #cleantech. ðŸ‡¨ðŸ‡¦ supports small businesses like @SaltworksTech that are not only developing technologies to protect the #environment but also creating jobs. #InvestInCanada https://t.co/ZL2lRVROZx https://t.co/tr68p9V1Qc,2019-04-18 17:01 +0000,2474,18,0.00727566693613581,0,0,4,2,1,0,10,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
9,1118903284599750016,https://twitter.com/canadabusiness/status/1118903284599750659,"Beware of #taxschemes that promise big tax refunds! ðŸ™… There could be serious consequences, and @CanRevAgency wants everyone to be cautious of this! https://t.co/2uaXUOLT9Q #CdnTax https://t.co/vLMwnwmnr7",2019-04-18 15:45 +0000,6706,34,0.0050700864897107,3,0,8,1,9,2,9,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
10,1118575182132710016,https://twitter.com/canadabusiness/status/1118575182132711429,Does your organization offer digital learning opportunities to students or their teachers? Apply for #CanCode funding before April 30: https://t.co/4goeXnLYqy #educationcanada https://t.co/SmVvVxy0Xt,2019-04-17 18:01 +0000,2599,15,0.00577145055790688,1,0,2,0,5,0,4,0,0,0,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
11,1118540899158560000,https://twitter.com/canadabusiness/status/1118540899158564865,Calling all #womenentrepreneurs â€“ Be sure to check out these @bdc_ca resources to help with your journey to a successful #business: https://t.co/oWPfzQzEr3 https://t.co/fKUOWr6YeS,2019-04-17 15:45 +0000,3527,35,0.00992344768925432,4,1,13,5,9,0,3,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
12,1118230092671590016,https://twitter.com/canadabusiness/status/1118230092671594497,The future of #innovation is in #cleantech. ðŸ‡¨ðŸ‡¦ supports small businesses like @SaltworksTech that are not only developing technologies to protect the #environment but also creating jobs. #InvestInCanada https://t.co/LaW9GxWpmn https://t.co/k36nwlTAex,2019-04-16 19:10 +0000,2436,14,0.0057471264367816,0,0,2,1,4,1,5,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
13,1118178646605400064,https://twitter.com/canadabusiness/status/1118178646605406208,Are you looking to access new markets? Discover what the government can do for your business by visiting https://t.co/3VZIRIIHQp. #InnovationCanada https://t.co/nuQ6FIuRxM,2019-04-16 15:45 +0000,3463,33,0.0095293098469535,2,1,7,0,8,0,8,0,0,0,0,0,0,250,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
14,1117842575371699968,https://twitter.com/canadabusiness/status/1117842575371702272,"#SMEs are the backbone of our economy. When we support them, everyone benefits. #InvestInCanada https://t.co/xpRb8q6MSr https://t.co/MFNYJFCiq8",2019-04-15 17:30 +0000,3932,48,0.0122075279755849,5,1,12,3,11,5,6,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
