,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements,Month
0,1101163894956060032,https://twitter.com/CDNScience/status/1101163894956064769,ðŸ‡¨ðŸ‡¦â€™s @NRC_CNRC has a long history of #innovation! Go back in time to check out some of its leading researchers and their outstanding achievements. https://t.co/GsitnVcJSu #ThrowbackThursday https://t.co/PGkZEj2tsE,2019-02-28 16:55 +0000,3463,28,0.00808547502165752,2,0,7,4,9,1,3,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
1,1100801519644000000,https://twitter.com/CDNScience/status/1100801519644000256,"Waterproof computers? Not just yet! But thanks to groundbreaking science using the periodic tableâ€™s heavier elements, this might become a reality! Check it out: https://t.co/NwIh6tRu6g #YearofthePeriodicTable https://t.co/ASN6J5kFgN",2019-02-27 16:55 +0000,1761,9,0.00511073253833049,1,0,4,0,2,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
2,1100439120298540032,https://twitter.com/CDNScience/status/1100439120298549248,"ðŸ‡¨ðŸ‡¦ company @ZymeworksInc is a global leader in biotherapeutics, the science of treating diseases like cancer using medicine made from living cells. Learn more: https://t.co/x0LVjsEJaG #CdnInnovation https://t.co/YkocPEJEW2",2019-02-26 16:55 +0000,1602,8,0.00499375780274656,0,0,1,1,1,0,5,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
3,1100094637505689984,https://twitter.com/CDNScience/status/1100094637505691648,#DYK that #genomics research brings faster and more accurate identification of Salmonella strains? Find out about this and other remarkable #GRDICanada projects: https://t.co/49T8rc8ykC https://t.co/VMpfGqCUfz,2019-02-25 18:06 +0000,18136,131,0.00722320247022496,8,1,15,10,13,5,53,0,0,0,0,0,0,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
4,1100076732810509952,https://twitter.com/CDNScience/status/1100076732810518528,"Meet YiSi, an innovative and internationally recognized software for evaluating machine-produced translations, developed by computer scientists at @NRC_CNRC! https://t.co/7z06hREVmY #CdnInnovation https://t.co/hKY3gTnXLQ",2019-02-25 16:55 +0000,1864,19,0.0101931330472103,0,0,5,2,1,0,10,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
5,1099006195573100032,https://twitter.com/CDNScience/status/1099006195573108736,Oatmeal is good for you â€“ they are high in protein and reduce cholesterol. Learn how #genomics is improving oat crop yields and making it more resistant to disease! https://t.co/CXeY0Pgtzx #GRDICanada @AAFC_Canada @USDA https://t.co/8BqQFGbEps,2019-02-22 18:01 +0000,8925,159,0.0178151260504201,7,4,12,7,21,1,14,0,0,0,1,0,0,92,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
6,1098989577283469952,https://twitter.com/CDNScience/status/1098989577283477505,Health Canada scientist Dr. Jing Chen has developed an innovative way to calculate Canadiansâ€™ risk of exposure to #radon according to where they spend most of their time. Check out the study: https://t.co/4E7pQzUg54 @GovCanHealth #Cdnsci https://t.co/R0Uj8tjXEU,2019-02-22 16:55 +0000,6887,73,0.0105996805575722,5,0,4,2,50,1,6,0,0,0,1,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
7,1098643757245820032,https://twitter.com/CDNScience/status/1098643757245829120,Find out how ðŸ‡¨ðŸ‡¦â€™s #Genomics R&amp;D Initiative (GRDI) is using science to make our lives better: https://t.co/d659vVfDC0 #GRDICanada https://t.co/iILXg4naVS,2019-02-21 18:00 +0000,22813,79,0.00346293779862359,11,0,13,7,21,2,15,0,0,0,1,0,0,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
8,1098627195977840000,https://twitter.com/CDNScience/status/1098627195977846784,"Astronauts like @Astro_DavidS have a unique vantage point when aboard the #ISS, where they can take stunning photos like this! See more: https://t.co/NSz9cYXDXG @Space_Station #cdnspace
ðŸ“¸: @csa_asc, @NASA &amp; Stewart Baird https://t.co/9viU0JpcFF",2019-02-21 16:55 +0000,14384,378,0.0262791991101223,26,1,92,25,27,1,20,0,0,0,0,0,0,186,186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
9,1098264793344099968,https://twitter.com/CDNScience/status/1098264793344102400,"(Northern) Lights, camera, action! You can catch a livestream of the northern lights in #Yellowknife with @AuroraMAX, courtesy of the @csa_asc! https://t.co/cCa2gl0ssa #Cdnspace https://t.co/GzjTCnTobm",2019-02-20 16:55 +0000,18594,568,0.0305474884371302,36,0,108,46,142,16,57,0,0,0,2,0,0,161,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
10,1097902404639609984,https://twitter.com/CDNScience/status/1097902404639617025,"Organophosphate esters (OPE) are chemical compounds found in products we use daily. Check out this @environmentca-led study on the relationship between OPE concentrations in air and dust, on hands and more: https://t.co/3nBDra6gev #cdnsci https://t.co/UOflYDV3qw",2019-02-19 16:55 +0000,1887,14,0.00741918388977212,3,0,5,0,4,0,1,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
11,1097540016295869952,https://twitter.com/CDNScience/status/1097540016295870464,"This photo was captured by the ðŸŒŽâ€™s most powerful adaptive-optics system, developed by @NRC_CNRC researchers. Discover exactly what itâ€™s showing! https://t.co/BVsCuHo8Xb #cdnspace https://t.co/KP5S3Mb8gl",2019-02-18 16:55 +0000,4135,74,0.0178960096735187,7,0,10,0,30,1,5,0,0,0,0,0,0,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
12,1096452856805270016,https://twitter.com/CDNScience/status/1096452856805277697,"Thereâ€™s never been a better time for women to start their journey in #STEM. Need inspiration? Browse our collection of podcasts, profiles, videos and more! https://t.co/8zTeLrNki6 #ChooseScience https://t.co/t5dolgyv8J",2019-02-15 16:55 +0000,4226,66,0.0156176053005205,13,0,21,9,15,1,4,0,0,0,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
13,1096131777364659968,https://twitter.com/CDNScience/status/1096131777364660224,"#CanCode helps #Cdn youth build their skills in #coding and #technology. Check out what programs, camps and workshops are near you! https://t.co/J99MlUFXPF #ChooseScience https://t.co/DBDK8EbsGC",2019-02-14 19:39 +0000,2018,14,0.00693756194251734,1,0,4,0,2,1,5,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
14,1095763560796470016,https://twitter.com/CDNScience/status/1095763560796471298,Minister Duncan was at @UCalgary today to highlight ðŸ‡¨ðŸ‡¦â€™s major investments to attract and retain some of the worldâ€™s most accomplished and promising research minds. https://t.co/KCNZeIa7oc #CanadaSupportsScience https://t.co/BTHtq9vYvl,2019-02-13 19:16 +0000,3120,91,0.0291666666666666,1,0,4,3,18,3,4,0,0,0,0,0,0,58,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
15,1095365692361240064,https://twitter.com/CDNScience/status/1095365692361244673,#Cdn women are no strangers to excelling in the #STEM fields! Check out @Women_Canadaâ€™s historical timeline of impactful women in ðŸ‡¨ðŸ‡¦ https://t.co/xKkRsRcNEh #WomenInScience https://t.co/uvFXCKAFwE,2019-02-12 16:55 +0000,5106,50,0.00979240109674892,5,0,13,2,9,1,8,0,0,0,0,0,0,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
16,1095318295681609984,https://twitter.com/CDNScience/status/1095318295681617920,#ChooseScience https://t.co/Fp262DYyOs,2019-02-12 13:46 +0000,2150,26,0.0120930232558139,1,0,8,2,1,0,8,0,0,0,0,0,0,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
17,1095039871960380032,https://twitter.com/CDNScience/status/1095039871960387585,"#Budget2018â€™s historic investment in #science includes new funding to ensure Canadaâ€™s research community is as diverse as our country. https://t.co/bdy4VMJlTC #CanadaSupportsScience #ChooseScience @UOIT @univcan @Women_Canada 
ðŸ“·: @UOIT https://t.co/jgjpnOiSdH",2019-02-11 19:20 +0000,7397,111,0.015006083547384,6,1,17,4,17,0,20,0,0,0,0,0,0,46,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
18,1094981664000909952,https://twitter.com/CDNScience/status/1094981664000917504,"Today is the International Day of Women &amp; Girls in #Science, and ministers Bains, Duncan and Ng invite you to celebrate the amazing achievements of #WomenInScience in ðŸ‡¨ðŸ‡¦. Join the conversation by using the hashtag #ChooseScience! https://t.co/nvwQbsc9G8",2019-02-11 15:29 +0000,124633,1382,0.0110885560004172,200,7,513,92,1,42,118,0,0,0,1,0,0,15873,408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
19,1094968064385389952,https://twitter.com/CDNScience/status/1094968064385392640,Celebrate International Day of Women and Girls in Science by participating in @environmentcaâ€™s #AskAScientist discussion on @Facebook Live! https://t.co/tJTlefnLHP #WomeninScience #ChooseScience https://t.co/uPyLaXBfPx,2019-02-11 14:35 +0000,18708,140,0.0074834295488561,29,0,46,15,17,5,21,0,0,0,0,0,0,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
20,1093932519903360000,https://twitter.com/CDNScience/status/1093932519903367174,.@ActuaCEO Jennifer Flanagan believes the #STEM narrative needs to change in order to welcome more girls and women into #science! #WomenInScience https://t.co/nGd2QMlLNT,2019-02-08 18:00 +0000,3557,79,0.022209727298285,5,0,17,13,0,0,12,0,0,0,0,0,0,492,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
21,1093916141695779968,https://twitter.com/CDNScience/status/1093916141695787009,"The David Florida Laboratory is ðŸ‡¨ðŸ‡¦â€™s world-class spacecraft assembly, integration and testing centre! Explore this internationally recognized facility: https://t.co/nUVZyMq7nE @csa_asc #cdnspace https://t.co/LHW1GsrelI",2019-02-08 16:55 +0000,9573,146,0.0152512274104251,12,0,42,12,24,2,13,0,0,0,0,0,0,41,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
22,1093570220504029952,https://twitter.com/CDNScience/status/1093570220504035334,"JoÃ«lle Pineau, director of the @Facebook #AI research lab in #Montreal, tells us why the Intl Day of Women &amp; Girls in Science (Feb 11) is a cause for celebration! #WomenInScience https://t.co/VL4WWOVSnp",2019-02-07 18:00 +0000,2615,28,0.0107074569789674,2,0,7,1,0,0,9,0,0,0,0,0,0,257,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
23,1093212820978700032,https://twitter.com/CDNScience/status/1093212820978704385,Tech #entrepreneur and bestselling author @ambermac discusses the importance of finding role models and mentors for girls interested in the #STEM fields. #WomenInScience https://t.co/NfkIP0lVkN,2019-02-06 18:20 +0000,8802,123,0.0139740967961826,9,1,35,8,0,0,16,0,0,0,0,0,0,1195,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
24,1093191363246589952,https://twitter.com/CDNScience/status/1093191363246592000,"100 years of astronomical discovery, the ðŸŒŽâ€™s first Centre for Air Travel Research, and more resilient wheat for farmers â€“ these are among the groundbreaking #cdnscience achievements of 2018: https://t.co/c8wm43fNLf",2019-02-06 16:55 +0000,4274,24,0.00561534861956013,3,1,7,3,0,0,6,0,0,0,0,0,0,454,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
25,1092828978396780032,https://twitter.com/CDNScience/status/1092828978396782592,Itâ€™s time to stop #cancer in its tracks! Learn more about @su2c_caâ€™s efforts to improve collaboration among multidisciplinary groups of cancer researchers: https://t.co/6CuImMRigz #CancerResearch https://t.co/2O2PlsVev5,2019-02-05 16:55 +0000,8678,68,0.0078359068909887,10,3,15,3,19,2,12,0,0,0,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
26,1092529150446000000,https://twitter.com/CDNScience/status/1092529150446002181,"Genomics research is driving #cdninnovation in #health, #forestry, #agriculture, #fisheries, #mining, #energy and the #environment. @GenomeCanada https://t.co/D8t91wnTez #CanadaSupportsScience https://t.co/YdVwOlnu7m",2019-02-04 21:03 +0000,2872,37,0.0128830083565459,4,0,11,3,9,0,8,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Feb
