,Unnamed: 0,City,Client Group,Contact Method,Country,Date Closed,Language,Month,Organization,Postal/Zip Code,Prog. Area,Program,Prov/State,Reason for Enquiry,Resolution,SRT #,SRT Status,Sector,Topic
0,0,,Individual,Telephone,Canada,2019-01-21,English,Jan,"Innovation, Science and Economic Development Canada",,,Other,Saskatchewan,Requires Expert Information,Referral (Internal),497797,Closed,,Internet radio and wireless
8,8,Saint-Hubert,Individual,Telephone,Canada,2019-01-18,French,Jan,"Innovation, Science and Economic Development Canada",J4T4J7,,Connecting Families,Québec,"Requires Expert Information
Status Update",Partial Resolution + Internal,497537,Closed,Digital Transformation Service Sector,Internet radio and wireless
818,818,,Individual,Telephone,Canada,2019-01-22,French,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Québec,Requires Information on a Procedure,Completed,497949,Closed,Digital Transformation Service Sector,Internet radio and wireless
1113,1113,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Manitoba,Requires Information on a Procedure,Completed,498048,Closed,Digital Transformation Service Sector,Internet radio and wireless
1114,1114,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Ontario,Requires Information on a Procedure,Completed,498047,Closed,Digital Transformation Service Sector,Internet radio and wireless
1115,1115,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,British Columbia,Status Update,Completed,498054,Closed,Digital Transformation Service Sector,Internet radio and wireless
1116,1116,Whitby,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",L1R1K7,,Connecting Families,Ontario,Status Update,Referral (Internal),498050,Closed,Digital Transformation Service Sector,Internet radio and wireless
1117,1117,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Prince Edward Island,Requires Information on a Procedure,Completed,498041,Closed,Digital Transformation Service Sector,Internet radio and wireless
1118,1118,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Ontario,Requires Information on a Procedure,Completed,498040,Closed,Digital Transformation Service Sector,Internet radio and wireless
1119,1119,,Individual,Telephone,Canada,2019-01-23,French,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Québec,Requires Information on a Procedure,Completed,498039,Closed,Digital Transformation Service Sector,Internet radio and wireless
1120,1120,,Individual,Telephone,Canada,2019-01-23,French,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Québec,Requires Information on a Procedure,Completed,498044,Closed,Digital Transformation Service Sector,Internet radio and wireless
1121,1121,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Prince Edward Island,Requires Information on a Procedure,Completed,498046,Closed,Digital Transformation Service Sector,Internet radio and wireless
1122,1122,Calgary,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",T2K4H1,,Connecting Families,Alberta,Status Update,Completed,498063,Closed,Digital Transformation Service Sector,Internet radio and wireless
1123,1123,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,British Columbia,Requires Information on a Procedure,Completed,498062,Closed,Digital Transformation Service Sector,Internet radio and wireless
1124,1124,,Individual,Telephone,Canada,2019-01-23,French,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Québec,Requires Information on a Procedure,Completed,498066,Closed,Digital Transformation Service Sector,Internet radio and wireless
1125,1125,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Ontario,Requires Information on a Procedure,Completed,498065,Closed,Digital Transformation Service Sector,Internet radio and wireless
1126,1126,,Individual,Telephone,Canada,2019-01-23,French,Jan,"Innovation, Science and Economic Development Canada",,Telephone Directory,The Department,Québec,Requires Contact Information,Completed,498056,Closed,,Corporate content
1127,1127,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,Amateur Radio,Spectrum Management and Telecommunications,British Columbia,"Requires Information on a Procedure
Requires Expert Information",Referral (Internal),498055,Closed,Spectrum Information Technologies and Telecommunications,Intellectual property and copyright
1128,1128,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada
Enterprises",,,"Connecting Families
Private Enterprise",Ontario,"Requires Information on a Procedure
Requires Expert Information",Completed,498059,Closed,Digital Transformation Service Sector,Internet radio and wireless
1129,1129,Mascouche,Individual,Telephone,Canada,2019-01-23,French,Jan,"Innovation, Science and Economic Development Canada",J7K0L8,,Connecting Families,Québec,"Problem (Non-Technical)
Requires Expert Information",Referral (Internal),498057,Closed,Digital Transformation Service Sector,Internet radio and wireless
1130,1130,,Company,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,"Trade-Marks
Registration","Canadian Intellectual Property Office (CIPO)
IC Registration",British Columbia,Requires Information on a Procedure,Completed,498058,Closed,"Canadian Intellectual Property Office
Communications and Marketing Branch",Internet radio and wireless
1131,1131,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,New Brunswick,Requires Information on a Procedure,Completed,498022,Closed,Digital Transformation Service Sector,Internet radio and wireless
1132,1132,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Québec,Requires Information on a Procedure,Completed,498021,Closed,Digital Transformation Service Sector,Internet radio and wireless
1133,1133,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Ontario,Requires Information on a Procedure,Completed,498024,Closed,Digital Transformation Service Sector,Internet radio and wireless
1134,1134,,Individual,Telephone,Canada,2019-01-23,French,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,Québec,Requires Information on a Procedure,Completed,498023,Closed,Digital Transformation Service Sector,Internet radio and wireless
1135,1135,,Individual,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,,Connecting Families,,Requires Information on a Procedure,Completed,498006,Closed,Digital Transformation Service Sector,Internet radio and wireless
1136,1136,,Company,Telephone,Canada,2019-01-23,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,Problem (Non-Technical),Completed,498005,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
