,Unnamed: 0,City,Client Group,Contact Method,Country,Date Closed,Language,Month,Organization,Postal/Zip Code,Prog. Area,Program,Prov/State,Reason for Enquiry,Resolution,SRT #,SRT Status,Sector,Topic
15,15,,Professional Services,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Status Update,Completed,498463,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
38,38,,Individual,Telephone,Canada,2019-01-31,French,Jan,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,Québec,Requires Expert Information,Partial Resolution + Internal,499095,Closed,Innovation Canada,Innovation
45,45,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),,Requires Expert Information,Referral (Internal),499125,Closed,Small Business Tourism and Marketplace Services,Corporations
47,47,,Company,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Prince Edward Island,"Problem (Non-Technical)
Requires Expert Information",Partial Resolution + Internal,499114,Closed,Innovation Canada,Innovation
48,48,,Company,Telephone,Canada,2019-01-31,French,Jan,"Innovation, Science and Economic Development Canada",,,Innovation Canada Platform,Québec,Requires Information on a Procedure,Completed,499112,Closed,Innovation Canada,Innovation
49,49,,Company,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Ontario,Requires Information on a Procedure,Completed,499122,Closed,Small Business Tourism and Marketplace Services,Corporations
53,53,,Company,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure
Requires Navigational Aid",Partial Resolution + Internal,499118,Closed,Small Business Tourism and Marketplace Services,Corporations
55,55,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Articles of Continuance,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),499133,Closed,Small Business Tourism and Marketplace Services,Corporations
59,59,,Company,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Ontario,Status Update,Referral (Internal),499134,Closed,Small Business Tourism and Marketplace Services,Corporations
60,60,,Professional Services,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,"Innovation Canada Platform
Strategic Innovation Fund",Ontario,"Requires Information on a Procedure
Requires Navigational Aid",Completed,499104,Closed,Innovation Canada,Innovation
67,67,,Company,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,"Password
User Name",IC Registration,Ontario,Problem (Non-Technical),Completed,499168,Closed,Communications and Marketing Branch,Innovation
